compound_id,rain_cluster_id,wind_cluster_id,compound_start,compound_end,compound_duration_h,compound_extent_km2,peak_precipitation_mm,peak_wind_ms,mean_precipitation_mm,mean_wind_ms,rain_duration_h,wind_duration_h,lat_min,lat_max,lon_min,lon_max,lat_centroid,lon_centroid,year,season,nuts1_region,wind_intensity_norm,rain_intensity_norm,rain_class,wind_class,risk_level
1,9,0,2019-09-04 09:00:00,2019-09-05 09:00:00,24.0,42839.0625,4.00154779753866,26.652459182283472,2.1904773943006917,20.391398266211887,7.0,23.0,49.25,49.5625,-6.5,-5.3125,49.40625,-5.90625,2019,SON,South West England,0.7162162162162162,0.3783783783783784,Medium,High,High
2,10,0,2019-09-04 10:00:00,2019-09-05 09:00:00,23.0,2705.625,3.5415179103737047,26.652459182283472,2.009547164034756,20.391398266211887,2.0,23.0,49.6875,49.8125,-6.4375,-6.25,49.75,-6.34375,2019,SON,South West England,0.7162162162162162,0.22972972972972974,Low,High,Medium
3,11,0,2019-09-04 10:00:00,2019-09-05 09:00:00,23.0,2705.625,4.78078209620583,26.652459182283472,3.45391475240971,20.391398266211887,0.0,23.0,48.625,48.8125,-6.0,-5.875,48.71875,-5.9375,2019,SON,South West England,0.7162162162162162,0.5540540540540541,Medium,High,High
4,22,6,2019-09-10 15:00:00,2019-09-11 08:00:00,17.0,68993.4375,5.487984973413322,26.427106092219667,2.676600985079262,21.162283276670394,17.0,8.0,49.375,49.9375,-7.0,-5.9375,49.65625,-6.46875,2019,SON,South West England,0.6891891891891891,0.7837837837837838,High,High,High
5,22,7,2019-09-10 15:00:00,2019-09-11 08:00:00,17.0,2254.6875,5.487984973413322,18.57416146605538,2.676600985079262,17.51593443830059,17.0,3.0,49.125,49.1875,-6.0625,-5.75,49.15625,-5.90625,2019,SON,South West England,0.13513513513513514,0.7837837837837838,High,Low,Medium
6,22,8,2019-09-10 15:00:00,2019-09-11 08:00:00,17.0,5411.25,5.487984973413322,20.752759688962843,2.676600985079262,19.14014868884541,17.0,1.0,49.25,49.5,-6.4375,-6.25,49.375,-6.34375,2019,SON,South West England,0.2702702702702703,0.7837837837837838,High,Low,Medium
8,27,13,2019-09-14 05:00:00,2019-09-14 23:00:00,18.0,99206.25,6.118785983364707,26.970506769984354,2.310114590378204,21.03061552900043,13.0,17.0,49.375,50.0,-7.0,-5.625,49.6875,-6.3125,2019,SON,South West England,0.7567567567567568,0.8783783783783784,High,High,High
9,27,15,2019-09-14 05:00:00,2019-09-14 18:00:00,13.0,1352.8125,6.118785983364707,27.474498409831483,2.310114590378204,26.910257869506037,13.0,2.0,50.1875,50.25,-7.0,-6.8125,50.21875,-6.90625,2019,SON,South West England,0.8378378378378378,0.8783783783783784,High,High,High
10,27,16,2019-09-14 05:00:00,2019-09-14 23:00:00,18.0,13528.125,6.118785983364707,22.15150300660025,2.310114590378204,21.09273593196204,13.0,5.0,49.4375,49.75,-5.5,-5.125,49.59375,-5.3125,2019,SON,South West England,0.33783783783783783,0.8783783783783784,High,Medium,High
11,31,19,2019-09-21 21:00:00,2019-09-22 18:00:00,21.0,1803.75,10.607719421386719,16.75635020999883,3.3834108764502413,16.132718584360997,21.0,1.0,47.125,47.25,-5.8125,-5.6875,47.1875,-5.75,2019,SON,South West England,0.013513513513513514,0.9864864864864865,High,Low,Medium
12,34,20,2019-09-23 23:00:00,2019-09-24 16:00:00,17.0,29761.875,10.55527407182956,17.142114736093273,3.1879638800769174,16.071212338365477,17.0,3.0,47.0,47.375,-5.75,-5.0625,47.1875,-5.40625,2019,SON,South West England,0.04054054054054054,0.972972972972973,High,Low,Medium
13,39,21,2019-09-26 06:00:00,2019-09-26 23:00:00,17.0,39682.5,3.42416334732142,25.546785893103426,1.911527378885645,23.605673991403226,10.0,16.0,49.75,50.25,-5.5,-4.8125,50.0,-5.15625,2019,SON,South West England,0.6351351351351351,0.17567567567567569,Low,Medium,Low
14,40,21,2019-09-26 07:00:00,2019-09-26 23:00:00,16.0,1352.8125,1.9111797599425167,25.546785893103426,1.720045597111982,23.605673991403226,1.0,16.0,49.75,49.8125,-5.0,-4.8125,49.78125,-4.90625,2019,SON,South West England,0.6351351351351351,0.013513513513513514,Low,Medium,Low
15,41,21,2019-09-26 07:00:00,2019-09-26 23:00:00,16.0,54112.5,7.527364476717785,25.546785893103426,2.5020656528366203,23.605673991403226,12.0,16.0,49.75,50.25,-5.4375,-4.5,50.0,-4.96875,2019,SON,South West England,0.6351351351351351,0.918918918918919,High,Medium,High
17,44,31,2019-09-27 08:00:00,2019-09-28 13:00:00,29.0,4058.4375,4.709236279834644,20.411954769506746,2.263850311448987,18.03336475880167,28.0,6.0,48.625,48.6875,-5.9375,-5.375,48.65625,-5.65625,2019,SON,South West England,0.23648648648648649,0.5405405405405406,Medium,Low,Low
18,49,31,2019-09-28 06:00:00,2019-09-28 13:00:00,7.0,1352.8125,3.4379221581620323,20.411954769506746,2.866667592467643,18.03336475880167,4.0,6.0,48.625,48.6875,-5.9375,-5.75,48.65625,-5.84375,2019,SON,South West England,0.23648648648648649,0.1891891891891892,Low,Low,Low
19,50,33,2019-09-28 14:00:00,2019-09-29 09:00:00,19.0,252525.0,7.910668759900971,24.69921404943981,3.361348492864544,20.233294287790685,19.0,11.0,47.625,48.5,-7.0,-4.5,48.0625,-5.75,2019,SON,South West England,0.6013513513513513,0.9391891891891891,High,Medium,High
21,50,35,2019-09-28 14:00:00,2019-09-30 00:00:00,34.0,126262.5,7.910668759900971,24.190781954616053,3.361348492864544,18.79271200370171,19.0,17.0,47.625,48.25,-6.25,-4.5,47.9375,-5.375,2019,SON,South West England,0.581081081081081,0.9391891891891891,High,Medium,High
22,51,33,2019-09-28 20:00:00,2019-09-29 07:00:00,11.0,4058.4375,3.564341349532839,24.69921404943981,2.516509626799892,20.233294287790685,1.0,11.0,47.75,47.9375,-5.9375,-5.75,47.84375,-5.84375,2019,SON,South West England,0.6013513513513513,0.25675675675675674,Low,Medium,Low
23,52,36,2019-09-29 10:00:00,2019-09-29 18:00:00,8.0,10822.5,7.342834543090744,22.896389328929374,3.131968470694879,18.362744951740257,7.0,6.0,48.5,48.625,-5.875,-5.125,48.5625,-5.5,2019,SON,South West England,0.4527027027027027,0.9054054054054054,High,Medium,High
24,53,36,2019-09-29 12:00:00,2019-09-29 18:00:00,6.0,450.9375,3.7270190541777297,22.896389328929374,2.6293544970479705,18.362744951740257,1.0,6.0,48.5625,48.625,-5.0625,-5.0,48.59375,-5.03125,2019,SON,South West England,0.4527027027027027,0.28378378378378377,Low,Medium,Low
25,56,37,2019-10-01 04:00:00,2019-10-01 18:00:00,14.0,901.875,3.9625375220964534,23.766718504348205,3.287982248530668,20.51596410148115,2.0,13.0,48.0625,48.125,-6.5625,-6.4375,48.09375,-6.5,2019,SON,South West England,0.5135135135135135,0.35135135135135137,Medium,Medium,Medium
27,59,38,2019-10-01 10:00:00,2019-10-01 13:00:00,3.0,5411.25,4.305374714571954,17.10326075504779,2.961954981773367,16.02558518750346,2.0,3.0,47.0,47.25,-4.75,-4.5625,47.125,-4.65625,2019,SON,South West England,0.02702702702702703,0.4864864864864865,Medium,Low,Low
29,64,46,2019-10-06 23:00:00,2019-10-07 17:00:00,18.0,76208.4375,6.045297746639552,28.318184855390555,3.1406761473638243,21.76115001036329,8.0,17.0,48.25,49.0625,-7.0,-6.1875,48.65625,-6.59375,2019,SON,South West England,0.8716216216216216,0.8445945945945946,High,High,High
30,64,47,2019-10-06 23:00:00,2019-10-07 11:00:00,12.0,2705.625,6.045297746639552,19.85356755619594,3.1406761473638243,17.905655795905723,8.0,5.0,48.9375,49.0625,-6.375,-6.1875,49.0,-6.28125,2019,SON,South West England,0.1891891891891892,0.8445945945945946,High,Low,Medium
31,65,46,2019-10-07 00:00:00,2019-10-07 22:00:00,22.0,229978.125,4.275267199085437,28.318184855390555,1.9216498224479688,21.76115001036329,15.0,17.0,49.1875,50.25,-6.8125,-4.9375,49.71875,-5.875,2019,SON,South West England,0.8716216216216216,0.46621621621621623,Medium,High,High
34,66,46,2019-10-07 00:00:00,2019-10-07 17:00:00,17.0,5411.25,3.5390898849312435,28.318184855390555,2.254907228413588,21.76115001036329,1.0,17.0,50.0,50.25,-7.0,-6.8125,50.125,-6.90625,2019,SON,South West England,0.8716216216216216,0.21621621621621623,Low,High,Medium
35,67,46,2019-10-07 00:00:00,2019-10-07 17:00:00,17.0,4058.4375,2.010405066357759,28.318184855390555,1.7509994528955855,21.76115001036329,2.0,17.0,50.0,50.1875,-6.5625,-6.375,50.09375,-6.46875,2019,SON,South West England,0.8716216216216216,0.02702702702702703,Low,High,Medium
36,70,51,2019-10-08 09:00:00,2019-10-08 20:00:00,11.0,2705.625,2.0766092267555303,22.700454253085724,1.7676902008081858,18.385318473662668,2.0,11.0,49.5,49.625,-6.5625,-6.375,49.5625,-6.46875,2019,SON,South West England,0.41216216216216217,0.04054054054054054,Low,Medium,Low
37,71,51,2019-10-08 09:00:00,2019-10-08 20:00:00,11.0,16233.75,4.275267199085437,22.700454253085724,2.8483387195096386,18.385318473662668,4.0,11.0,49.25,49.625,-6.875,-6.5,49.4375,-6.6875,2019,SON,South West England,0.41216216216216217,0.46621621621621623,Medium,Medium,Medium
38,73,56,2019-10-09 10:00:00,2019-10-09 23:00:00,13.0,19841.25,3.85003900992909,19.094249755192777,2.291404659391211,17.0606061300908,10.0,4.0,47.5,47.75,-5.625,-4.9375,47.625,-5.28125,2019,SON,South West England,0.16216216216216217,0.32432432432432434,Low,Low,Low
40,74,61,2019-10-10 13:00:00,2019-10-11 04:00:00,15.0,2705.625,3.919156800857815,20.217684864279327,2.2797780449746745,17.449771142816875,10.0,6.0,49.0625,49.125,-6.125,-5.75,49.09375,-5.9375,2019,SON,South West England,0.20945945945945946,0.33783783783783783,Medium,Low,Low
42,77,62,2019-10-10 22:00:00,2019-10-11 18:00:00,20.0,15782.8125,3.9649655475389145,22.669926125121414,2.9949704919631364,19.479873070344954,9.0,16.0,49.3125,49.625,-6.875,-6.4375,49.46875,-6.65625,2019,SON,South West England,0.38513513513513514,0.36486486486486486,Medium,Medium,Medium
